storm_id,fips,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
Fran-1996,50003,Winter Weather,0,0,0,0,5000,NA
Fran-1996,42069,Heavy Rain,0,0,0,0,NA,NA
Fran-1996,50004,Winter Storm,0,0,0,0,50000,NA
Fran-1996,34003,Thunderstorm Wind,0,0,0,0,NA,NA
Fran-1996,42002,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,42001,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,42002,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,42003,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,50005,Winter Storm,0,0,0,0,30000,NA
Arthur-1996,53007,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,50006,Flood,0,0,0,0,15000,NA
Fran-1996,50008,Flood,0,0,0,0,15000,NA
Fran-1996,50003,Flood,0,0,0,0,10000,NA
Fran-1996,50009,Flood,0,0,0,0,10000,NA
Fran-1996,34004,Coastal Flood,0,0,0,0,NA,NA
Fran-1996,34005,Coastal Flood,0,0,0,0,NA,NA
Fran-1996,54051,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,4015,High Wind,0,0,0,0,5000,0
Bertha-1996,37091,Hurricane (Typhoon),0,0,0,0,6.00E+06,1.50E+07
Bertha-1996,36079,Flash Flood,0,0,0,0,NA,NA
Fran-1996,24019,Coastal Flood,0,0,0,0,NA,NA
Bertha-1996,37030,Hurricane (Typhoon),0,0,0,0,NA,NA
Fran-1996,50009,Winter Storm,0,0,0,0,20000,NA
Josephine-1996,25015,High Wind,0,0,0,0,NA,NA
Fran-1996,37091,Hurricane (Typhoon),0,0,0,0,5.00E+06,NA
Fran-1996,36035,Winter Weather,0,0,0,0,5000,NA
Josephine-1996,37012,Tropical Storm,0,0,0,0,NA,NA
Josephine-1996,37013,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,34002,Coastal Flood,0,0,0,0,NA,NA
Fran-1996,36028,Winter Weather,0,0,0,0,5000,NA
Fran-1996,36028,Winter Weather,0,0,0,0,5000,NA
Fran-1996,6002,High Wind,0,0,0,0,NA,NA
Fran-1996,54055,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,36031,Winter Weather,0,0,0,0,5000,NA
Fran-1996,37095,Hurricane (Typhoon),0,0,0,0,2.00E+09,NA
Fran-1996,51053,Flood,0,0,0,0,5.00E+06,NA
Fran-1996,51025,Flood,0,0,0,0,4.20E+07,1.60E+07
Fran-1996,42099,Flash Flood,0,0,1,0,NA,NA
Edouard-1996,36077,Coastal Flood,0,0,0,0,NA,NA
Edouard-1996,36080,Coastal Flood,0,0,0,0,NA,NA
Edouard-1996,36081,Coastal Flood,0,0,0,0,NA,NA
Fran-1996,42055,Flash Flood,0,0,0,0,NA,NA
Fran-1996,17076,High Wind,0,0,0,0,NA,NA
Fran-1996,17077,High Wind,0,0,0,0,NA,NA
Fran-1996,17078,High Wind,0,0,0,0,NA,NA
Fran-1996,17080,High Wind,0,0,0,0,NA,NA
Fran-1996,17081,High Wind,0,0,0,0,25000,NA
Fran-1996,37014,Hurricane (Typhoon),0,0,0,0,NA,NA
Fran-1996,24022,Hurricane (Typhoon),0,0,0,0,NA,NA
Josephine-1996,22064,Coastal Flood,0,0,0,0,NA,NA
Fran-1996,42030,High Wind,0,0,0,0,5000,NA
Fran-1996,34039,Flash Flood,0,0,0,0,NA,NA
Edouard-1996,23026,Hurricane (Typhoon),0,0,0,0,NA,NA
Fran-1996,37071,High Wind,0,0,0,0,NA,NA
Fran-1996,37072,High Wind,0,0,0,0,NA,NA
Fran-1996,37092,Hurricane (Typhoon),0,0,0,0,5.00E+06,NA
Fran-1996,24021,Hurricane (Typhoon),0,0,0,0,NA,NA
Edouard-1996,23027,Hurricane (Typhoon),0,0,0,0,NA,NA
Dolly-1996,48144,Drought,0,0,0,0,NA,NA
Bertha-1996,37073,Hurricane (Typhoon),0,0,0,0,NA,NA
Josephine-1996,24018,High Wind,0,0,0,0,30000,NA
Fran-1996,37103,Hurricane (Typhoon),0,0,0,0,NA,NA
Fran-1996,42091,Flash Flood,0,0,2,0,2.00E+07,NA
Bertha-1996,37074,Hurricane (Typhoon),0,0,0,0,NA,NA
Fran-1996,24011,High Wind,0,0,0,0,NA,NA
Josephine-1996,12061,Tropical Storm,0,0,0,0,NA,NA
Bertha-1996,34013,Flash Flood,0,0,0,0,NA,NA
Fran-1996,51091,Flash Flood,0,0,1,0,1.00E+06,50000
Fran-1996,51139,Flash Flood,0,0,0,0,5.00E+06,1.40E+07
Josephine-1996,13039,Flash Flood,0,0,0,0,15000,NA
Bertha-1996,37008,Hurricane (Typhoon),0,0,0,0,NA,NA
Bertha-1996,37009,Hurricane (Typhoon),0,0,0,0,NA,NA
Fran-1996,25015,Heavy Snow,0,0,0,0,NA,NA
Josephine-1996,22040,Coastal Flood,0,0,0,0,NA,NA
Josephine-1996,22058,Coastal Flood,0,0,0,0,NA,NA
Josephine-1996,22067,Coastal Flood,0,0,0,0,NA,NA
Fran-1996,34003,Heavy Rain,0,0,0,0,NA,NA
Fran-1996,34006,Coastal Flood,0,0,0,0,NA,NA
Josephine-1996,12057,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,34003,Coastal Flood,0,0,0,0,NA,NA
Fran-1996,34013,Heavy Rain,0,0,0,0,NA,NA
Edouard-1996,23023,Hurricane (Typhoon),0,0,0,0,NA,NA
Josephine-1996,25016,High Wind,0,0,0,0,NA,NA
Fran-1996,50021,Thunderstorm Wind,0,0,0,0,10000,NA
Josephine-1996,37014,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,51023,Flood,0,0,0,0,NA,NA
Fran-1996,51024,Flood,0,0,0,0,NA,NA
Fran-1996,51034,Flood,0,0,0,0,NA,NA
