YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
199906,2409570,5705372,1,,,ALEXANDRIA,38.82,-77.08,3849,7705
199907,2408965,5706229,1,,,,,,,
199907,2410433,5708028,1,,,,,,,
199907,2410433,5708029,1,,,,,,,
199907,2410433,5708027,1,,,,,,,
199907,2409373,5709418,1,,,,,,,
199907,2409373,5709419,1,,,,,,,
199906,2410352,5708854,1,1,N,MOULTRIE,31.2,-83.8,3112,8348
199906,2410352,5708847,1,,,SUMNER,31.52,-83.75,3131,8345
199906,2410352,5708848,1,,,BAINBRIDGE,30.9,-84.57,3054,8434
199906,2410352,5708855,1,,,POULAN,31.52,-83.8,3131,8348
199906,2408348,5706372,1,,,HOLTVILLE,32.63,-86.32,3238,8619
199906,2408349,5706373,1,7,W,HARTSELLE,34.43,-87.05,3426,8703
199906,1082534,5706374,1,,,BIRMINGHAM,,,,
199907,2411041,5706704,1,3,N,BERTHOLD,48.37,-101.73,4822,10144
199906,2408450,5706492,1,,,COUNTYWIDE,37.72,-85.97,3743,8558
199906,2408450,5706493,1,,,MUNFORDVILLE,37.28,-85.9,3717,8554
199906,2408450,5706494,1,,,LEBANON JCT,37.83,-85.73,3750,8544
199906,2408450,5706495,1,,,BARDSTOWN,37.82,-85.47,3749,8528
199907,2409396,5706624,1,,,,,,,
199907,2410075,5706670,1,,,,,,,
199907,2411782,5706671,1,,,RUPERT,42.62,-113.67,4237,11340
199906,2410310,5708661,1,,,WEST BEND,43.42,-88.18,4325,8811
199906,2410310,5708662,1,,,BROOKFIELD,43.07,-88.15,4304,8809
199907,2409880,5709190,1,6,SW,PHILADELPHIA,32.7,-89.18,3242,8911
199907,2409880,5709191,1,,,NEWTON,32.32,-89.17,3219,8910
199907,2409880,5709192,1,,,COLLINS,31.63,-89.55,3138,8933
199907,2409880,5709193,1,,,COLUMBIA,31.25,-89.83,3115,8950
199907,2410037,5706705,1,2,W,BERTHOLD,48.32,-101.78,4819,10147
199905,2409021,5705983,1,8,N,VERDEN,35.2,-98.08,3512,9805
199907,2408965,5706216,1,,,,,,,
199906,2408443,5706473,1,8,NW,BROWNLEE,42.37,-100.73,4222,10044
199906,2408443,5706474,1,7,SE,BROWNLEE,42.22,-100.52,4213,10031
199906,2408443,5706475,1,4,N,BROWNLEE,42.33,-100.62,4220,10037
199906,2408443,5706476,1,2,SW,HALSEY,41.88,-100.37,4153,10022
199906,2408443,5706477,1,5,WSW,DUNNING,41.78,-100.2,4147,10012
199907,2410960,5706672,1,,,ATOMIC CITY,,,,
199907,2410960,5706673,1,15,SE,ARCO,,,,
199907,2410961,5706674,1,4,N,FT HALL,,,,
199907,2408965,5706227,1,,,,,,,
199906,2408392,5706310,1,,,REDFORD,,,,
199906,2409578,5705516,1,6,W,LOCO HILLS,32.82,-104.08,3249,10405
199906,2409579,5705517,1,6,W,LOCO HILLS,32.82,-104.08,3249,10405
199906,2409019,5706370,1,,,KINGSTON SPGS,36.1,-87.12,3606,8707
199906,1082531,5706371,1,,,BIRMINGHAM,33.52,-86.82,3331,8649
199906,1082868,5706366,1,,,CASSVILLE,35.95,-85.6,3557,8536
199906,1082868,5706367,1,,,DOYLE,35.85,-85.5,3551,8530
199906,1082868,5706368,1,5,W,JAMESTOWN,36.43,-85,3626,8500
199906,2409104,5704591,1,2,N,WOODS,37.2,-101.1,3712,10106
199906,2409104,5704592,1,17,NNW,LIBERAL,37.27,-101.05,3716,10103
199906,2409105,5704593,2,22,NW,LAKIN,38.18,-101.53,3811,10132
199906,2409256,5704308,1,,,OSCEOLA,41.22,-89.78,4113,8947
199906,2409256,5704309,2,,,EAST PEORIA,40.67,-89.57,4040,8934
199907,2406874,5702897,1,,,TERRY,46.78,-105.3,4647,10518
199903,2409428,5703111,1,,,,,,,
199906,2409607,5703490,1,5,SW,BEACHWOOD,,,,
199906,2409608,5703491,1,4,SE,PASADENA,,,,
199906,2409609,5703492,1,,,PALMERTON,40.82,-75.6,4049,7536
199906,2409610,5703493,1,,,WALNUTPORT,40.75,-75.58,4045,7535
199906,2409287,5704491,1,,,SLATON,33.43,-101.65,3326,10139
199906,2409289,5704613,1,,,PROGRESS,34.28,-102.82,3417,10249
199906,2409289,5704614,1,10,WNW,LEVELLAND,33.63,-102.53,3338,10232
199906,2409289,5704615,1,,,LEVELLAND,33.58,-102.37,3335,10222
199906,2409289,5704616,1,2,SW,NEW DEAL,33.72,-101.85,3343,10151
199906,2409289,5704617,1,,,(LBB)LUBBOCK INTL AR,33.67,-101.82,3340,10149
199907,2409529,5706014,1,,,TAMA,41.97,-92.58,4158,9235
199910,2414396,5722867,2,5,ENE,COLORADO SPGS,38.87,-104.73,3852,10444
199910,1088030,5722996,1,,,,,,,
199909,2413696,5722464,1,,,,,,,
199910,2413099,5722526,1,,,,,,,
199911,2413100,5722527,1,,,SLINGER,43.33,-88.28,4320,8817
199909,2413869,5721672,1,,,,,,,
199909,2413869,5721673,1,,,,,,,
199911,2413821,5721766,1,,,,,,,
199911,2413821,5721767,1,,,,,,,
199912,1088762,5721879,1,,,,,,,
199912,1088763,5721880,1,,,,,,,
199912,1088763,5721881,1,,,,,,,
199906,2409287,5704492,1,2,N,PADUCAH,34.05,-100.3,3403,10018
199906,2409288,5704493,1,,,LEVELLAND,33.58,-102.37,3335,10222
199906,2409288,5704494,1,,,ROPESVILLE,33.42,-102.15,3325,10209
199906,2409288,5704495,1,,,LEVELLAND,,,,
199906,2409288,5704496,1,,,LUBBOCK,,,,
199906,2409635,5704558,1,7,W,GOLDEN,39.75,-105.35,3945,10521
199906,2408392,5706321,1,5,N,YPSILANTI,42.3,-83.62,4218,8337
199905,2409021,5705976,1,,,GOTEBO,35.07,-98.88,3504,9853
199905,2409021,5705974,1,3,N,PUTNAM,35.9,-98.97,3554,9858
199906,2408342,5706283,1,7,NE,HEFLIN,33.72,-85.5,3343,8530
199906,2409517,5706284,1,,,SOUTHSIDE,34,-86.02,3400,8601
199907,2410280,5704286,1,8,W,ANTHONY,37.15,-98.18,3709,9811
199907,2410280,5704287,1,,,ANTHONY,37.15,-98.03,3709,9802
199905,2410164,5704498,1,2,SSW,MANGUM,34.85,-99.52,3451,9931
199906,2410225,5704586,1,3,W,MEADE STATE PARK,37.17,-100.47,3710,10028
